시군명,업체명,도로명주소,지번주소,우편번호,전화번호,관리구분명,WGS84위도,WGS84경도,,,,,,
경기 가평군,(주)에너지뱅크,경기도 가평군 청평면 경춘로 1050,경기도 가평군 청평면 하천리 278번지,12450,031-584-8646,자동차+탱크+13kg용기,37.75378984,127.4356114,,,,,,
경기 가평군,(주)오일유업 경춘LPG충전소,경기도 가평군 가평읍 경춘로 1770,경기도 가평군 가평읍 상색리 279-5번지 경춘LPG충전소,12426,031-581-4545,자동차충전,37.79724085,127.4818034,,,,,,
경기 가평군,KH에너지(주) 가평충전소(서울방향),경기도 가평군 설악면 미사리로 544,경기도 가평군 설악면 미사리 145-3번지,12462,031-584-5135,자동차충전,37.70173849,127.5434705,,,,,,
경기 가평군,KH에너지(주) 가평충전소(춘천방향),경기도 가평군 설악면 미사리로540번길 51,경기도 가평군 설악면 미사리 149-4번지 설악휴게소,12462,031-584-5189,자동차충전,37.70193552,127.5467945,,,,,,
경기 가평군,국토충전소,경기도 가평군 조종면 비득재길 120,경기도 가평군 조종면 현리 444-10번지,12438,031-585-6786,자동차충전,37.81259313,127.3414003,,,,,,
경기 가평군,디에스충전소,경기도 가평군 청평면 경춘로 30,경기도 가평군 청평면 대성리 621-4번지,12457,031-584-9200,자동차+탱크,37.67838728,127.3771787,,,,,,
경기 가평군,성원에너지(주),경기도 가평군 가평읍 경춘로 1983-11,경기도 가평군 가평읍 하색리 248-2번지,12424,031-582-9950,용기+자동차+탱크+13kg용기,37.81019419,127.4969099,,,,,,
경기 가평군,행복충전소,경기도 가평군 청평면 경춘로 524,경기도 가평군 청평면 대성리 56-1번지,12457,031-585-2813,자동차충전,37.7180558,127.4017728,,,,,,
경기 가평군,화랑포충전소,경기도 가평군 청평면 경춘로 121,경기도 가평군 청평면 대성리 399-159번지 화랑포LPG충전소,12457,031-585-8158,자동차충전,37.68689393,127.3794252,,,,,,37.67371
경기 고양시 덕양구,(주)삼전,경기도 고양시 덕양구 호국로 1634,경기도 고양시 덕양구 벽제동 229번지,10269,031-969-8558,자동차충전,37.69726922,126.902875,,,,,,
경기 고양시 덕양구,(주)상암에너지,경기도 고양시 덕양구 자유로 40,경기도 고양시 덕양구 덕은동 425-97번지,10543,031-3158-0066,자동차충전,37.57928196,126.8593668,,,,,,
경기 고양시 덕양구,(주)서강이엔한강LPG충전소,경기도 고양시 덕양구 자유로 88,경기도 고양시 덕양구 덕은동 557-7번지,10542,031-3159-7119,자동차충전,37.58190636,126.8546781,,,,,,
경기 고양시 덕양구,(주)와이이에스 자유제일충전소,경기도 고양시 덕양구 자유로 489,경기도 고양시 덕양구 행주외동 27번지,10440,031-938-1292,자동차충전,37.6040296,126.8217122,,,,,,
경기 고양시 덕양구,그린필드충전소,경기도 고양시 덕양구 호국로 1945,경기도 고양시 덕양구 벽제동 159-1번지,10268,031-969-9604,자동차충전,37.71788511,126.9196498,,,,,,
경기 고양시 덕양구,뉴타운충전소,경기도 고양시 덕양구 북한산로 633,경기도 고양시 덕양구 지축동 81-12번지,10580,031-384-1216,자동차충전,37.68045173,126.9591803,,,,,,
경기 고양시 덕양구,동아엘피지충전소,경기도 고양시 덕양구 호국로 1631,경기도 고양시 덕양구 대자동 37번지,10283,031-969-8227,자동차충전,37.69613622,126.9016251,,,,,,
경기 고양시 덕양구,복지용두충전소,경기도 고양시 덕양구 서오릉로 569,경기도 고양시 덕양구 용두동 568-8번지 sk가스,10547,031-358-8440,자동차충전,37.63167648,126.8778665,,,,,,
